### Footprint positions - created on 2026-03-29T09:04:22+0500 ###
### Printed by KiCad version 9.0.7
## Unit = inches, Angle = deg.
## Side : All
# Ref        Val                                  Package                              PosX       PosY       Rot  Side
C64          25pF                                 C0201                              3.5871    -4.3352    0.0000  top
C65          25pF                                 C0201                              3.5874    -4.3088    0.0000  top
C66          100pF                                C0201                              6.0577    -0.8862   45.0000  top
C67          0.1uF                                C0201                              6.0397    -0.8682   45.0000  top
C68          100pF                                C0201                              5.9922    -0.9461  -135.0000  top
C69          0.1uF                                C0201                              5.9708    -0.9287  -135.0000  top
C70          1pF                                  C0201                              6.1449    -0.9096  -135.0000  top
C71          1pF                                  C0201                              6.0193    -1.0333  -135.0000  top
C72          1pF                                  C0201                              6.1678    -1.0431  -45.0000  top
C73          100pF                                C0201                              7.2006    -0.8806  -45.0000  top
C74          0.1uF                                C0201                              7.2225    -0.8626  -45.0000  top
C75          10µF                                 C0805                              2.3811    -8.5655  -90.0000  top
C76          100nF                                C0402                              2.4676    -8.5523  -90.0000  top
C77          10µF                                 C0805                              4.9559    -8.5399  -90.0000  top
C78          100nF                                C0402                              5.0587    -8.5222  -90.0000  top
C79          100pF                                C0201                              5.1752    -2.9310   90.0000  top
C80          0.1uF                                C0201                              5.2010    -2.9310   90.0000  top
C81          100pF                                C0201                              5.1760    -3.0114  -90.0000  top
C82          0.1uF                                C0201                              5.2033    -3.0114  -90.0000  top
C83          1pF                                  C0201                              5.2918    -2.8675  -90.0000  top
C84          1pF                                  C0201                              5.2927    -3.0704  -90.0000  top
C85          1pF                                  C0201                              7.9658    -2.9623    0.0000  top
C86          1uF                                  C0201                              9.6404    -1.2602   90.0000  top
C87          1uF                                  C0201                              9.6227    -1.2604   90.0000  top
C88          1uF                                  C0201                              6.6926    -1.2606   90.0000  top
C89          1uF                                  C0201                              6.6719    -1.2608   90.0000  top
C90          1uF                                  C0201                              6.6256    -1.2826   90.0000  top
C91          1uF                                  C0201                              6.6443    -1.2828   90.0000  top
C92          1uF                                  C0201                              9.5872    -1.2801   90.0000  top
C93          1uF                                  C0201                              9.6050    -1.2803   90.0000  top
C94          1uF                                  C0201                              9.6136    -4.6194  -90.0000  top
C95          1uF                                  C0201                              9.6333    -4.6202  -90.0000  top
C96          1uF                                  C0201                              9.6353    -4.6840  -90.0000  top
C97          1uF                                  C0201                              9.6146    -4.6838  -90.0000  top
C98          1uF                                  C0201                              6.6333    -4.6177  -90.0000  top
C99          1uF                                  C0201                              6.6540    -4.6184  -90.0000  top
C100         1uF                                  C0201                              6.6758    -4.6732  -90.0000  top
C101         1uF                                  C0201                              6.6571    -4.6732  -90.0000  top
C102         10nF                                 C0201                              6.2336    -1.6566   45.0000  top
C103         10nF                                 C0201                              6.4283    -1.0595  -45.0000  top
C104         10nF                                 C0201                              7.0325    -1.2499  -135.0000  top
C105         10nF                                 C0201                              6.8375    -1.8540  135.0000  top
C106         10nF                                 C0201                              9.2266    -1.6580   45.0000  top
C107         10nF                                 C0201                              9.4252    -1.0575  -45.0000  top
C108         4.7uF                                C0201                              3.0916    -2.4133  135.0000  top
C109         4.7uF                                C0201                              3.0728    -2.4321  135.0000  top
C110         0.47uF                               C0201                              3.1095    -2.3954  135.0000  top
C111         0.47uF                               C0201                              3.1275    -2.3771  135.0000  top
